module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
earn_staking,earn_staking/presentation/phone/pages/staking/staking_developer_console_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/phone/pages/staking/staking_faq_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/phone/pages/staking/staking_insurance_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/phone/pages/staking/staking_proof_of_reserves_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/phone/pages/staking/staking_regulatory_framework_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/phone/pages/staking/staking_webhooks_page.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_staking,earn_staking/presentation/phone/pages/staking/staking_withdrawal_policy_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/widgets/staking/staking_advanced_orders_overview_orders.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_advanced_orders_sheet_fields.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_api_documentation_common.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_api_documentation_examples.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_earn_hero_tabs.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_earn_hero_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_earnings_summary_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_guide_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/widgets/staking/staking_history_summary_filters.dart,VitChoicePill,chip,2,44,hug,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_institutional_overview_batches.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_liquid_staking_common.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_risk_disclosure_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/widgets/staking/staking_social_feed_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/widgets/staking/staking_tax_guide_header.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn_staking,earn_staking/presentation/widgets/staking/staking_tax_guide_jurisdictions.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn_staking,earn_staking/presentation/widgets/staking/staking_validator_selection_filters.dart,VitChoicePill,chip,3,44,hug,-,pass,
enterprise_states,enterprise_states/presentation/widgets/enterprise_states_hero_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
enterprise_states,enterprise_states/presentation/widgets/enterprise_states_preview_kit.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
home,home/presentation/phone/pages/home_page_sections.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
home,home/presentation/widgets/tablet/home_market_watchlist_panel.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
launchpad,launchpad/presentation/phone/pages/claim/launchpad_claim_receipt_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/phone/pages/tools/launchpad_gas_tracker_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
launchpad,launchpad/presentation/phone/pages/tools/launchpad_limit_orders_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/phone/pages/tools/launchpad_multisig_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/phone/pages/tools/launchpad_risk_analytics_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/phone/pages/tools/launchpad_staking_page.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/bridge/launchpad_bridge_compare_route_list.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
launchpad,launchpad/presentation/widgets/bridge/launchpad_swap_aggregator_history_settings.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/bridge/launchpad_swap_aggregator_input.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/widgets/phone/launchpad_home_project_widgets.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/phone/launchpad_performance_overview.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/phone/launchpad_portfolio_hero_tabs.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_abi_diff_summary.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_address_book_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_dca_builder_common.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/widgets/tools/launchpad_event_log_filter_widgets.dart,VitFilterChip,filter_accent,2,44,hug_scroll,-,review,wrapper over VitChoicePill
launchpad,launchpad/presentation/widgets/tools/launchpad_gas_tracker_alert_sheet.dart,VitChoicePill,chip,3,44,full_or_hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_gas_tracker_prices.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_limit_orders_create_fields.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_notif_sound_categories.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_staking_calculator.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_webhooks_create_sheet.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_webhooks_form_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/tools/launchpad_webhooks_stats_header.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/phone/pages/portfolio/advanced_charts_page_tabs_filters_widgets.dart,VitFilterChip,filter_accent,4,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/phone/pages/portfolio/advanced_charts_page_tabs_filters_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/phone/pages/portfolio/portfolio_tracker_page_holdings_widgets.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/phone/pages/portfolio/portfolio_tracker_page_overview_widgets.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/phone/pages/portfolio/portfolio_tracker_page_overview_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/phone/pages/portfolio/price_alerts_page.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
markets,markets/presentation/phone/pages/research/social_signals_page_tabs_widgets.dart,VitFilterChip,filter_accent,8,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/phone/pages/research/token_unlocks_page_upcoming_widgets.dart,VitFilterChip,filter_accent,5,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/phone/pages/research/token_unlocks_page_upcoming_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/widgets/pair/market_depth_chart.dart,VitChoicePill,chip,1,44,hug,-,pass,
markets,markets/presentation/widgets/pair/market_depth_tabs.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/widgets/pair/market_heatmap_summary.dart,VitFilterChip,filter_accent,2,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/widgets/pair/pair_detail_chart_widgets.dart,VitChoicePill,chip,2,44,hug,-,pass,
markets,markets/presentation/widgets/pair/pair_detail_chart_widgets.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
markets,markets/presentation/widgets/pair/pair_detail_chart_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/widgets/phone/market_list_filters.dart,VitFilterChip,filter_accent,2,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/widgets/phone/market_list_tools.dart,VitChoicePill,chip,3,44,hug,-,pass,
markets,markets/presentation/widgets/research/market_news_page_sections.dart,VitChoicePill,chip,1,44,hug,-,pass,
markets,markets/presentation/widgets/research/market_news_page_sections.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/widgets/research/social_sentiment_tabs_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
markets,markets/presentation/widgets/research/social_sentiment_token_widgets.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
markets,markets/presentation/widgets/research/token_info_tabs_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
